nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [86/24611] tile (-46,82): 0 sites (0 new) — 40s elapsed, 2.2 tiles/s, ETA ~?s
  [87/24611] tile (-45,82): 0 sites (0 new) — 40s elapsed, 2.2 tiles/s, ETA ~?s
  [88/24611] tile (-44,82): 0 sites (0 new) — 41s elapsed, 2.2 tiles/s, ETA ~?s
  [89/24611] tile (-43,82): 0 sites (0 new) — 41s elapsed, 2.2 tiles/s, ETA ~?s
  [90/24611] tile (-42,82): 0 sites (0 new) — 41s elapsed, 2.2 tiles/s, ETA ~?s
  [91/24611] tile (-41,82): 0 sites (0 new) — 42s elapsed, 2.2 tiles/s, ETA ~?s
  [92/24611] tile (-40,82): 0 sites (0 new) — 43s elapsed, 2.2 tiles/s, ETA ~?s
  [93/24611] tile (-39,82): 0 sites (0 new) — 43s elapsed, 2.2 tiles/s, ETA ~?s
  [94/24611] tile (-38,82): 0 sites (0 new) — 43s elapsed, 2.2 tiles/s, ETA ~?s
  [95/24611] tile (-37,82): 0 sites (0 new) — 44s elapsed, 2.1 tiles/s, ETA ~?s
  [96/24611] tile (-36,82): 0 sites (0 new) — 45s elapsed, 2.2 tiles/s, ETA ~?s
  [97/24611] tile (-35,82): 0 sites (0 new) — 45s elapsed, 2.1 tiles/s, ETA ~?s
  [98/24611] tile (-34,82): 0 sites (0 new) — 46s elapsed, 2.1 tiles/s, ETA ~?s
  [99/24611] tile (-33,82): 0 sites (0 new) — 46s elapsed, 2.1 tiles/s, ETA ~?s
  [100/24611] tile (-32,82): 0 sites (0 new) — 47s elapsed, 2.1 tiles/s, ETA ~?s
  [101/24611] tile (-31,82): 0 sites (0 new) — 47s elapsed, 2.1 tiles/s, ETA ~?s
  [102/24611] tile (-30,82): 0 sites (0 new) — 48s elapsed, 2.1 tiles/s, ETA ~?s
  [103/24611] tile (-29,82): 0 sites (0 new) — 48s elapsed, 2.1 tiles/s, ETA ~?s
  [104/24611] tile (-28,82): 0 sites (0 new) — 49s elapsed, 2.1 tiles/s, ETA ~?s
  [105/24611] tile (-27,82): 0 sites (0 new) — 49s elapsed, 2.1 tiles/s, ETA ~?s
  [106/24611] tile (-26,82): 0 sites (0 new) — 49s elapsed, 2.1 tiles/s, ETA ~?s
  [107/24611] tile (-25,82): 0 sites (0 new) — 50s elapsed, 2.1 tiles/s, ETA ~?s
